SAL_NAME21,tree_percentage,distance,n
Prahran,24.3,5.3093007766988025,3847
Preston,13,8.954090842604513,13945
Princes Hill,17.3,3.6025433922897663,746
Quandong,1.4,40.649397464913974,64
Reservoir,14.1,11.960919415504227,25131
Richmond,18.9,3.5286650725291797,8974
Ringwood,26.7,23.80733816038396,9390
Ringwood East,38.4,25.57598671060303,5332
Ringwood North,40.3,23.725770903852425,4132
Ripponlea,29.8,7.604413793598871,412
Rosanna,25.2,12.516290214728908,3808
Rowville,22.3,27.556825394273766,13510
Roxburgh Park,14.9,21.177393691383223,7249
Sandringham,42.2,16.121123887814786,3935
Scoresby,16.1,24.487902831299518,2687
Seabrook,14.4,19.459500272396884,2024
Seaholme,17.2,11.865696771049224,872
Seddon,19.4,6.346330860054994,2185
Somerton,4.2,19.953177957353848,448
South Kingsville,18.5,8.24753182814299,1016
South Melbourne,16.8,2.25495093471642,3640
South Wharf,1.9,1.5771958524153227,26
South Yarra,26,3.7702728271835073,4785
Southbank,9.6,1.297019395625794,406
Spotswood,13.2,6.855164983432668,1335
Springvale,15.3,22.505365595991282,8834
Springvale South,22.7,23.804472153735954,4416
St Albans,6.5,15.89769165020891,14865
St Helena,23.6,20.165345123361043,1069
St Kilda,20.7,5.739223949839122,3319
St Kilda East,27.2,6.774787295416876,2797
St Kilda West,25,4.91245791663161,593
Strathmore,18.2,9.858342165516742,3498
Strathmore Heights,16.9,12.622315016799572,445
Sunbury,11.1,36.85268419087078,17281
Sunshine,11.2,11.679067945481686,4499
Sunshine North,7,12.494050874999148,5721
Sunshine West,6.3,13.505073889901977,8289
Surrey Hills,36.8,11.975655255334136,5717
Sydenham,6.8,21.570404095282296,4190
Tarneit,4.3,26.376046557528227,14332
Taylors Lakes,8.5,20.180280812315733,5918
Templestowe,36.4,17.653348995206933,7021
Templestowe Lower,28.8,14.274471345593472,5889
The Basin,58.8,31.863335017361372,1830
Thornbury,17.9,7.266068704203351,7192
Toorak,34.1,5.667590233206213,4108
Tottenham,9.2,9.763009946727456,254
Travancore,26.2,4.439060637732546,403
Truganina,1.3,22.04573607844845,8815
Tullamarine,11.3,14.509358415160008,5256
Upper Ferntree Gully,47,31.915728638905364,1089
Vermont,32.4,20.966681224265127,4725
Vermont South,32,20.277903967226752,4637
Viewbank,32.4,14.130569091788157,2900
Wantirna,29.1,23.514867847279163,5846
Wantirna South,25.6,23.73694797444876,8809
Warrandyte,61.7,22.8900410570363,2365
Warrandyte South,45.9,25.478693797859012,276
Warranwood,50.5,25.666689091854693,1901
Waterways,26.6,26.690501633448296,839
