SAL_NAME21,street_percentage,rural_percentage,reserve_percentage,residential_percentage,weighted_street_pc,weighted_reserve_pc,weighted_rural_pc,weighted_resi_pc,total_coverage_pc,other_percentage,weighted_other_pc,distance
Clayton South,13.874998999764953,7.341612644955646,27.81478803134178,13.168325000726686,0.01741064941759126,0.015249217876433612,0.007233892613585304,0.03907829970070601,0.11827131410100865,9.259932039327344,0.03929925449269246,20.199009400476577
Clifton Hill,16.91021761468659,0,42.3594513830571,18.867262542995526,0.05014163774923494,0.10584356641632336,0,0.06293095190883914,0.23327715886071065,11.960781311571886,0.014361002786313198,4.017941505761256
Cobblebank,3.0856029806943748,0,51.03732303416432,2.823487429109422,0.0028303918238580007,0.008063474850472834,0,0.02418851745665372,0.03640514089251528,3.6966624906524483,0.0013227567615307237,34.21844589683686
Coburg,17.209375808640594,0,34.50199624003719,16.490304969760032,0.03746152264119685,0.020123292801727803,0,0.09555052765979927,0.17061533175580607,12.091896533564931,0.017479988653082135,7.691881765843333
Coburg North,17.098475866182678,0,44.881609416964494,20.257546730042865,0.025250442396726937,0.07656976809767091,0,0.06687294465755632,0.19733886865295308,8.147110355316123,0.02864571350099892,9.685620306546808
Cocoroc,19.30452493533062,0,5.848704262922796,0,0.0018580315558361438,0.0020432086049185757,0,0,0.03474828532768862,3.2285669767759204,0.030847045166933908,34.58760506622404
Coimadai,49.69482071368788,0,0.06936199820171701,0,0.024856984431643848,6.288660795936513e-7,0,0,0.5868047162349609,59.210035173743655,0.5619471029372375,48.776621593504764
Collingwood,16.742247485342553,0,43.199578914408896,25.256953284504768,0.05139326702801385,0.0010313468948329458,0,0.05728919104877405,0.13653151799747065,5.781927176912198,0.0268177130258498,2.5806532282455454
Coolaroo,4.236715926990174,0,1.4204257668260418,5.013423945840436,0.005764837384534386,4.1427331982059345e-4,0,0.012304603780989784,0.05027963083255386,5.395238725015795,0.03179591634720909,17.653692157556296
Craigieburn,12.203152952131449,2.478537801452912,15.819927733244189,7.745129102563003,0.016312267087202317,0.003313490843195481,8.712595122092399e-4,0.03102864761549591,0.09315677007137231,10.163625666397333,0.04163110501326935,25.50486689585885
Cremorne,17.025499578116005,0,5.3686332781255235,26.691451393141037,0.038936047674918754,0.0026298925513942722,0,0.037572025256832134,0.13960364564285124,10.39720729324143,0.06046568015970608,3.107330649395992
Croydon,34.9660736819646,13.577802989323695,37.45225018999277,37.43707530188308,0.05964724435169583,0.04178476416944683,3.8977589479319925e-4,0.2298757773372615,0.35356134753559915,21.659590149804846,0.0218637857824018,28.34865642887472
Croydon Hills,30.141652803988876,0,59.88547013185015,29.607364245527563,0.056273864551897014,0.06250520045824715,0,0.20183735095262034,0.3248283442273195,15.477013267925793,0.0042119282645549615,27.097737451865427
Croydon North,33.952717330086315,0,75.24286845029002,41.25736960655362,0.05512142497280129,0.09124621522690773,0,0.28244336726552,0.44335088426281,45.73067443606206,0.014539876797580916,28.644242901760773
Croydon South,36.88597386294429,0,63.30232625340716,32.29163392909748,0.0595437460623981,0.012640568912462763,0,0.17184855821789244,0.28912631084379614,15.7433660453516,0.045093437651042866,27.707944868246376
Dallas,4.855379088501833,0,8.79063753801205,10.049950632549988,0.00944111747745225,0.008068739432102592,0,0.056225772617422065,0.08391951189398174,6.599950933354938,0.010183882367004831,16.097180473407292
Dandenong,15.6992931931703,0,33.18042573973797,19.58284189803223,0.031704628246988886,0.03082188877013649,0,0.07914678438321542,0.17310183596614317,10.441551080413095,0.03142853456580238,28.95259352359963
Dandenong North,15.451679177198214,0,21.662336759020622,17.89866293576554,0.03962685236442137,0.004603208985877996,0,0.09330589331161604,0.17843543636766837,20.34874474693406,0.040899481705752985,27.119376827697906
Dandenong South,13.677275687762519,52.04662204931411,72.30601803296508,43.82321518892348,0.01679173533450204,0.0068818732752967,3.1810300490483156e-4,3.7227274570545837e-7,0.09121054157484396,7.752106948146931,0.06721845768739468,32.81061196046533
Deanside,4.4753235628317265,1.2373468518964854,1.474804242276065,2.655656598690217,0.003920067229710115,6.797007790350906e-5,0.004842427846124322,0.00966591847667658,0.020102875922361724,1.0536595828809687,0.0016064922919471981,24.48178686948068
Deepdene,43.82238554372921,0,52.330416767485865,28.299966524425663,0.0788729677520601,0.04815430848715112,0,0.19266915364188253,0.32436396757698355,9.891690304665655,0.004667537695889832,9.062734079045383
Deer Park,7.216040978977201,0,19.266045903458114,4.655822145663432,0.013591422475739766,0.012338967322947376,0,0.02143598190731109,0.07549419717474688,9.794072417692423,0.028127825468748643,17.588233918044825
Delahey,7.985321668793708,0,6.9050215522135,5.218942232629348,0.015280811790921256,0.002121408055437039,0,0.02341892140176157,0.048531993602987746,2.3423942328194607,0.007710852354867882,19.434941288221818
Derrimut,5.7250425400824065,0,0.7436897609627566,2.4463242650668224,0.006764470579270219,0.0013054755772600565,0,0.0025251035957292826,0.02159131209580507,1.8233398622739438,0.010996262343545513,16.543858844948055
Diggers Rest,10.140246570781239,4.093016025737119,10.172358748860844,12.94403655854008,0.003754628353447203,2.905079787731078e-4,0.03597326347399983,0.008288035447500064,0.04984295544799322,8.93657887789978,0.0015365201942730152,31.756279860229824
Dingley Village,26.34454701523119,8.531585387711777,19.26841650001837,38.685409416258345,0.03582422153968961,0.018507901538815274,0.02194990338868078,0.16205742233776393,0.2648275261379024,28.86215923525218,0.026488077332952796,22.916128845638724
Docklands,7.497519252981114,0,16.788082695642935,0,0.01747142416355771,0.0014432597545485698,0,0,0.04633768756800329,3.616027923803089,0.027423003649897013,2.0496767587194604
Doncaster,21.223255646140217,0,37.03944600791081,26.038446456240553,0.043844579704186926,0.026623944932121297,0,0.1630522014515856,0.25362670444604435,21.08988452391027,0.02010597835815054,14.541632892395324
Doncaster East,22.102118159182808,0,45.06649651654423,25.57269796424686,0.04467950282466437,0.03304276105945855,0,0.16707194432059044,0.2617859852655815,23.862132261070073,0.016991777060868133,18.11469572086369
Donnybrook,1.9974294502591088,4.967426278221067,0,1.808051204273621,3.086633979145154e-4,0,0.008966080662173097,0.013556542806915936,0.02454903848732488,3.1656673600163656,0.0017177516203213314,30.5109960867064
Donvale,35.271634640070715,52.1174801531048,67.12175641528194,45.47313565154666,0.04839950083779053,0.062010056630390144,0.018297159630318815,0.31435229783347907,0.4592737467548725,36.854698654705956,0.016214731822893947,20.284487574919197
Doreen,19.935994575860086,13.73459763502107,26.392453034957637,16.309817968863584,0.03477456492951966,0.017330904415902064,0.014931182464448647,0.09552345688179967,0.17985214990284099,26.39606840220373,0.017292041211170974,28.869744657779826
Doveton,18.48722541268593,0,30.912098291129887,23.374556683318733,0.039060294126559626,0.04353900184027161,0,0.11599293144390459,0.2240959490179263,16.819290727231525,0.02550372160719046,30.990604567510193
Eaglemont,37.78165161073613,0,64.51636996376881,37.852569383132824,0.06434325933460242,0.11602774712327012,0,0.22626683056548266,0.42856774857730967,42.09474613922544,0.02192991155395445,10.480557284637591
East Melbourne,26.73741825046233,0,49.94486800190741,22.813750832482146,0.07888341079128128,0.13455869771416237,0,0.04944395892443675,0.29533968955408607,14.830737557260946,0.03245362212420563,1.7153508817118779
Eden Park,28.93162065702535,31.57161483243387,0,0,0.011249450365764167,0,0.30239968861115424,0,0.3143141512468407,20.17822640100007,6.650122699223451e-4,36.52123314080351
Edithvale,20.17391118501886,0,12.660702094370672,27.58209602175834,0.03348924706038274,0.007944540088089409,0,0.1670005021251673,0.23456256114720633,15.760753243541403,0.02612827187356688,28.155010755252196
Elsternwick,27.43382184497161,0,47.60017986705527,24.713177954524376,0.06355647041057493,0.005068701056164842,0,0.16472779884171665,0.25002595133816474,18.297624459973193,0.016672981029708316,8.842945339408072
Eltham North,32.3248253908105,0,66.13628444598385,36.19152145902014,0.05744859696950957,0.06419518488406227,0,0.22757501497855523,0.3728366689239352,24.49869221511482,0.023617872091808136,20.361708054177193
Elwood,44.31291253812138,0,17.995197515326332,24.368800742645153,0.10800461763424157,0.017547886727768525,0,0.14241614950710432,0.2878061397443069,26.686961371415325,0.019837485875192507,7.65006234342932
Endeavour Hills,21.069000259238678,0,43.881995840232825,29.353054282664914,0.035344766375313204,0.15614722647712154,0,0.12565510921476628,0.3286970342479715,23.899776881737704,0.011549932180770474,31.05126546235543
Epping,8.714332033752429,11.600447475051137,2.8518997704126594,10.329797932372204,0.010663147660079737,0.002959447635562259,0.005248983844636536,0.021790200259533894,0.06498545057294132,4.69866125086122,0.024323671173128895,19.867500867326342
Essendon,12.225311001112772,0,24.74050653788766,18.28029293001058,0.029511463799622183,0.016978694388567556,0,0.11151845428022303,0.1661247694381864,10.154201559649161,0.008116156969773634,8.497585670275145
