sa1,total_uhi_cov,uhi,sa2,ttl_cov,ttl_cov_a,ttl_area,CHG_FLAG21,SA2_CODE21,AREASQKM21,ttl_uhi_cov_a
20601110907,0.21227479351317677,7.73481794,206011109,0.15514181531487034,5114.172042177409,32964.49788084448,0,206011109,0.1533,6997.531980921815
20601110908,0.18417008422637215,8.93437465,206011109,0.275607965566908,4579.487899285665,16615.948997939704,0,206011109,0.0747,3060.1607264516592
20601110909,0.20615661756271186,8.79306949,206011109,0.27508405149872384,6816.100491146323,24778.24669954719,0,206011109,0.1062,5108.199528713078
20601110910,0.196434916705232,8.3648164,206011109,0.17183429521477303,6114.232710281644,35582.14442954801,0,206011109,0.1013,6989.575577211798
20601110911,0.18457066176284248,9.24616237,206011109,0.17445997767707663,5072.963842134707,29078.095215194306,0,206011109,0.1168,5366.963276671357
20601110912,0.15307474013303732,9.14858387,206011109,0.12059969363897428,3246.94959027581,26923.365162069458,0,206011109,0.1126,4121.287125690653
20601110913,0.18779146474746194,9.31721381,206011109,0.06631858176091758,1880.198447354252,28351.005064198733,0,206011109,0.1182,5324.076768068591
20601110914,0.15009017262671354,8.49793007,206011109,0.05935825074177964,1108.7291204382557,18678.601653230162,0,206011109,0.1138,2803.4745465589317
20601110915,0.17582790176567167,9.06438459,206011109,0.12723338483060398,3196.8106292911143,25125.56459570171,0,206011109,0.1005,4417.775303540078
20601110916,0.22524806965888505,9.93724996,206011109,0.19988216652112767,7756.872503430237,38807.22646965271,0,206011109,0.1435,8741.252851104462
20601110917,0.2582662282392461,8.78450615,206011109,0.22289500576857138,6940.140285175097,31136.365129602513,0,206011109,0.1353,8041.471583102426
20601110918,0.2382488925013531,9.38162415,206011109,0.2246107263169986,8872.759932815548,39502.832648754294,0,206011109,0.1552,9411.506129232002
20601110919,0.14119270191079608,9.78429012,206011109,0.10905723922005865,2008.9157768783898,18420.746676199506,0,206011109,0.0917,2600.8749944269243
20601110920,0.13227777397427568,9.33785396,206011109,0.07843221954619363,2347.4538520698843,29929.71339651203,0,206011109,0.1139,3959.035863778669
20601110921,0.15433947625626532,8.98253495,206011109,0.14064404096124367,3030.579088404549,21547.866995940945,0,206011109,0.1221,3325.6865065931906
20601110922,0.128075786212633,9.30650398,206011109,0.06314348134450024,2235.1091416407107,35397.30616762054,0,206011109,0.1504,4533.537817227283
20601110923,0.19064174107985862,8.39230575,206011109,0.1463829493257637,15216.96141074327,103953.10028136625,0,206011109,0.283,19817.800028288802
20601110924,0.14628834779673824,9.89285939,206011109,0.08277802032293183,2835.4812253029427,34254.03524077073,0,206011109,0.1257,5010.966220743598
20602111001,0.2542096930895458,7.1920043,206021110,0.3156139184269321,9499.255600639663,30097.708136527694,0,206021110,0.1387,7651.12914808543
20602111002,0.23004705185653024,8.43471084,206021110,0.21141040012234827,7510.372825804865,35525.086852200424,0,206021110,0.1539,8172.441497295891
20602111003,0.24183729245393257,8.96042894,206021110,0.22891207692666182,6038.673651236484,26379.882321242214,0,206021110,0.1335,6379.639315822579
20602111004,0.22059366835192604,8.15550625,206021110,0.12292541689479408,1924.4060100011266,15655.070030375675,0,206021110,0.0649,3453.4093263068685
